                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79564,                 1.0789,                 1.1378,                 0.9292,                0.89201,                 0.9731,                0.82848,                0.61069,                 1.2585,                 1.0109,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                 0.8108,                 1.0551,                 1.1342,                 0.9575,                0.92981,                0.97995,                0.82701,                 0.6348,                 1.1648,                 1.0306,             0.00011091,             0.00011091,             0.00011091
                      3,                0.74803,                0.97787,                 1.1066,                0.95576,                0.93846,                0.98298,                0.82686,                0.67285,                 1.1099,                 1.0555,             0.00016522,             0.00016522,             0.00016522
                      4,                 0.7169,                0.94791,                 1.1184,                0.88489,                0.90554,                0.96783,                0.79931,                 0.6951,                 1.2255,                 1.0525,             0.00021292,             0.00021292,             0.00021292
                      5,                0.77154,                0.95009,                 1.1033,                0.90055,                0.84196,                0.95662,                0.78791,                0.71579,                 1.2722,                 1.0647,             0.00025402,             0.00025402,             0.00025402
                      6,                0.76384,                0.93455,                 1.1089,                0.89657,                0.85252,                0.95568,                0.78709,                0.69333,                 1.1603,                 1.0621,             0.00028852,             0.00028852,             0.00028852
                      7,                0.71896,                0.92927,                 1.0665,                0.89604,                 0.9247,                0.95968,                0.80336,                0.66779,                 1.0554,                 1.0472,             0.00031641,             0.00031641,             0.00031641
                      8,                0.68422,                0.88311,                 1.0798,                0.90706,                0.94488,                0.96733,                0.83039,                0.63265,                0.99362,                 1.0248,             0.00033771,             0.00033771,             0.00033771
                      9,                 0.7661,                0.92371,                 1.1332,                0.93521,                0.93481,                0.96469,                0.81505,                0.68993,                  1.045,                 1.0688,              0.0003524,              0.0003524,              0.0003524
                     10,                0.74941,                0.93324,                 1.0952,                0.95426,                0.90361,                0.95559,                0.77979,                0.76935,                 1.1627,                  1.127,              0.0003605,              0.0003605,              0.0003605
                     11,                 0.6521,                 0.9775,                 1.0477,                0.96272,                 0.9042,                0.95928,                0.76288,                0.81777,                  1.281,                 1.1423,             0.00036199,             0.00036199,             0.00036199
                     12,                0.61133,                0.97888,                  1.001,                0.92222,                0.90972,                0.96173,                0.76231,                0.79326,                 1.2674,                 1.1261,             0.00035688,             0.00035688,             0.00035688
                     13,                0.63596,                0.93905,                 1.0453,                 0.9521,                0.93358,                0.98046,                0.80127,                 0.7216,                 1.1764,                 1.0879,             0.00034517,             0.00034517,             0.00034517
                     14,                0.63256,                0.87444,                 0.9972,                0.94797,                0.95894,                0.98072,                0.81916,                0.67331,                 1.1081,                 1.0579,             0.00032686,             0.00032686,             0.00032686
                     15,                0.65931,                0.87796,                 1.0388,                0.95532,                0.97164,                0.98722,                0.83932,                0.63321,                 1.0457,                 1.0268,             0.00030194,             0.00030194,             0.00030194
                     16,                0.60682,                0.84499,                 1.0017,                0.95604,                0.97553,                0.98723,                0.84342,                0.60994,                 1.0046,                 1.0094,             0.00027043,             0.00027043,             0.00027043
                     17,                0.60915,                0.88209,                 1.0026,                 0.9467,                0.97714,                0.98942,                0.84467,                 0.6048,                 0.9585,                 1.0068,             0.00023231,             0.00023231,             0.00023231
                     18,                0.63897,                0.86929,                 1.0405,                0.95983,                0.98086,                0.98968,                0.84514,                0.60055,                0.89672,                0.99994,              0.0001876,              0.0001876,              0.0001876
                     19,                 0.6018,                0.85342,                0.98866,                 0.9614,                0.98231,                0.99022,                0.85134,                0.58959,                0.86721,                0.99225,             0.00013628,             0.00013628,             0.00013628
                     20,                0.63777,                0.89977,                 1.0711,                0.95712,                0.98611,                0.99108,                0.85419,                0.58502,                0.85189,                 0.9867,             7.8357e-05,             7.8357e-05,             7.8357e-05
